index,period,frequency,rlnm_rot_rate,rhnm_rot_rate,nlnm_acc,nhnm_acc,gsn_horizontal_acc,gsn_vertical_acc,gsn_vertical_rot_rate,gsn_transverse_rot_rate
0,0.1,10.0,2.3360540168795784e-24,1.0434769997184574e-16,1.5848931924611107e-17,7.079457843841373e-10,1.2022652794407593e-16,8.511386658675968e-17,3.325200949426905e-24,1.2545362102502138e-23
1,0.101391,9.862808336045607,2.3544142670995284e-24,1.0189265548722503e-16,1.5973496833535393e-17,6.912895629836491e-10,1.1939165127500884e-16,8.291512718044289e-17,3.30211009967761e-24,1.2221278811171841e-23
2,0.102802,9.727437209392813,2.372918819970764e-24,9.949537215520322e-17,1.60990407621571e-17,6.750252214664226e-10,1.185477416453644e-16,8.071417086630364e-17,3.2787694181349343e-24,1.1896868758615723e-23
3,0.104232,9.593982654079362,2.391568809642016e-24,9.715449099806392e-17,1.62255714050954e-17,6.591435398635874e-10,1.1769552211045993e-16,7.851378409149492e-17,3.255198902916341e-24,1.1572542653334231e-23
4,0.105682,9.462349312087206,2.409810435929509e-24,9.487086946883764e-17,1.6349331511298278e-17,6.436503355554829e-10,1.1683452250833783e-16,7.631367241088448e-17,3.2313855503776704e-24,1.1248257095574172e-23
5,0.107152,9.332536956846349,2.4287503757882035e-24,9.263879147475127e-17,1.647782931798754e-17,6.285068277756621e-10,1.159648736342946e-16,7.411512956340587e-17,3.2073329780287313e-24,1.092420277604246e-23
6,0.108643,9.204458639765102,2.447839174377215e-24,9.045922878066805e-17,1.6607337055040633e-17,6.137196094517944e-10,1.1508611983563008e-16,7.191800461972507e-17,3.1830285835194687e-24,1.0600357448503281e-23
7,0.110154,9.078199611453057,2.4670780016539036e-24,8.833094583086713e-17,1.673786266001996e-17,5.99280297970135e-10,1.141989883096106e-16,6.972513444503725e-17,3.1584924795245283e-24,1.0277139252826628e-23
8,0.111686,8.953673692315958,2.4864680367709025e-24,8.625472220472196e-17,1.6869414132873155e-17,5.851941823780826e-10,1.133030316767144e-16,6.753644994271362e-17,3.1337122925117443e-24,9.954538004511868e-24
9,0.11324,8.830801836806783,2.50601046814841e-24,8.422536094349275e-17,1.700199953642355e-17,5.714260039681385e-10,1.1239781369757079e-16,6.53519922069931e-17,3.1086759570609967e-24,9.632559760646152e-24
10,0.114815,8.709663371510691,2.5251249950849573e-24,8.224374555661498e-17,1.7131681827158054e-17,5.579817569000251e-10,1.114840675379211e-16,6.31746571392038e-17,3.083403750921802e-24,9.311631362732878e-24
11,0.116413,8.590105916005944,2.544971251383596e-24,8.030875270121106e-17,1.726632852743242e-17,5.448538198667582e-10,1.1056078922915944e-16,6.100322631869028e-17,3.0578679065338838e-24,8.991573221606047e-24
